"[-0.06263435 -0.06263435 -0.06263435 -0.06263435 -0.06263435 -0.06263435
 -0.06263435 -0.06263435 -0.06263435 -0.06263435]","[ 0.64011153  0.64011153  0.64011153  0.64011153  0.64011153  0.64011153
  0.64011153  0.64011153  0.64011153  0.64011153]","[-0.62293501 -0.62293501 -0.62293501 -0.62293501 -0.62293501 -0.62293501
 -0.62293501 -0.62293501 -0.62293501 -0.62293501]","[ 0.30049362  0.30049362  0.30049362  0.30049362  0.30049362  0.30049362
  0.30049362  0.30049362  0.30049362  0.30049362]","[-0.89092051 -0.89092051 -0.89092051 -0.89092051 -0.89092051 -0.89092051
 -0.89092051 -0.89092051 -0.89092051 -0.89092051]","[ 0.3487901  0.3487901  0.3487901  0.3487901  0.3487901  0.3487901
  0.3487901  0.3487901  0.3487901  0.3487901]","[ 0.14539619  0.14539619  0.14539619  0.14539619  0.14539619  0.14539619
  0.14539619  0.14539619  0.14539619  0.14539619]","[-0.36427137 -0.36427137 -0.36427137 -0.36427137 -0.36427137 -0.36427137
 -0.36427137 -0.36427137 -0.36427137 -0.36427137]","[-0.35263983 -0.35263983 -0.35263983 -0.35263983 -0.35263983 -0.35263983
 -0.35263983 -0.35263983 -0.35263983 -0.35263983]","[-0.97839708 -0.97839708 -0.97839708 -0.97839708 -0.97839708 -0.97839708
 -0.97839708 -0.97839708 -0.97839708 -0.97839708]","[ 0.55298313 -0.749632   -0.749632   -0.749632   -0.749632   -0.749632
 -0.749632   -0.749632   -0.749632   -0.749632  ]","[ 0.32225394  0.32225394  0.32225394  0.32225394  0.32225394  0.32225394
  0.32225394  0.32225394  0.32225394  0.32225394]","[ 0.51381313  0.51381313  0.51381313  0.51381313  0.51381313  0.51381313
  0.51381313  0.92545195  0.92545195  0.92545195]","[ 0.86646654  0.86646654  0.86646654  0.86646654  0.86646654  0.86646654
  0.86646654  0.86646654  0.86646654  0.86646654]"
"[-0.67273139 -0.67273139 -0.67273139 -0.67273139 -0.67273139 -0.67273139
 -0.67273139 -0.67273139 -0.67273139 -0.67273139]","[ 0.55609312  0.55609312  0.55609312  0.55609312  0.55609312  0.55609312
  0.55609312  0.55609312  0.55609312  0.55609312]","[-0.99170643 -0.99170643 -0.99170643 -0.99170643 -0.99170643 -0.99170643
 -0.99170643 -0.99170643 -0.99170643 -0.99170643]","[ 0.29657144  0.29657144  0.29657144  0.29657144  0.29657144  0.29657144
  0.29657144  0.29657144  0.29657144  0.29657144]","[-0.68172418 -0.68172418 -0.68172418 -0.68172418 -0.68172418 -0.68172418
 -0.68172418 -0.68172418 -0.68172418 -0.68172418]","[-0.35771668 -0.35771668 -0.35771668 -0.35771668 -0.35771668 -0.35771668
 -0.35771668 -0.35771668 -0.35771668 -0.35771668]","[ 0.39566432  0.39566432  0.39566432  0.39566432  0.39566432  0.39566432
  0.39566432  0.39566432  0.39566432  0.39566432]","[-0.08400983  0.86840065  0.86840065  0.86840065  0.86840065  0.86840065
  0.86840065  0.86840065  0.86840065  0.86840065]","[-0.26419608 -0.26419608 -0.26419608 -0.26419608 -0.26419608 -0.26419608
 -0.26419608 -0.26419608 -0.26419608 -0.26419608]","[ 0.84753749  0.84753749  0.84753749  0.84753749  0.84753749  0.84753749
  0.84753749  0.84753749  0.84753749  0.84753749]","[ 0.79870395  0.79870395  0.79870395  0.79870395  0.79870395  0.79870395
  0.79870395  0.79870395  0.79870395  0.79870395]","[-0.21762853 -0.21762853 -0.21762853 -0.21762853 -0.21762853 -0.21762853
 -0.21762853 -0.21762853 -0.21762853 -0.21762853]","[-0.72786839 -0.72786839 -0.72786839 -0.72786839 -0.72786839 -0.72786839
 -0.72786839 -0.72786839 -0.72786839 -0.72786839]","[ 0.72025383  0.72025383  0.72025383  0.72025383  0.72025383  0.72025383
  0.72025383  0.72025383  0.72025383  0.72025383]"
"[ 0.75815888  0.75815888  0.75815888  0.75815888  0.75815888  0.75815888
  0.75815888  0.75815888  0.75815888  0.75815888]","[-0.35732034 -0.35732034 -0.35732034 -0.35732034 -0.35732034 -0.35732034
 -0.35732034 -0.35732034 -0.35732034 -0.35732034]","[-0.49281932 -0.49281932 -0.49281932 -0.49281932 -0.49281932 -0.49281932
 -0.49281932  0.52418145  0.52418145  0.52418145]","[-0.71102044 -0.71102044 -0.71102044 -0.71102044 -0.71102044 -0.71102044
 -0.71102044 -0.71102044 -0.71102044 -0.71102044]","[-0.36047623 -0.36047623 -0.36047623 -0.36047623 -0.36047623 -0.36047623
 -0.36047623 -0.36047623 -0.36047623 -0.36047623]","[ 0.6267522  0.6267522  0.6267522  0.6267522  0.6267522  0.6267522
  0.6267522  0.6267522  0.6267522  0.6267522]","[-0.24499289 -0.80241869 -0.80241869 -0.80241869 -0.80241869 -0.80241869
 -0.80241869 -0.80241869 -0.80241869 -0.80241869]","[-0.62191759 -0.62191759 -0.62191759 -0.62191759 -0.62191759 -0.62191759
 -0.62191759 -0.62191759 -0.62191759 -0.62191759]","[ 0.96120017  0.96120017  0.96120017  0.96120017  0.96120017  0.96120017
  0.96120017  0.96120017  0.96120017  0.96120017]","[ 0.36166331  0.36166331  0.36166331  0.36166331  0.36166331  0.36166331
  0.36166331  0.36166331  0.36166331  0.36166331]","[ 0.79022637  0.79022637  0.79022637  0.79022637  0.79022637  0.79022637
  0.79022637  0.79022637  0.79022637  0.79022637]","[-0.38721471 -0.38721471 -0.38721471 -0.38721471 -0.38721471 -0.38721471
 -0.38721471 -0.38721471 -0.38721471 -0.38721471]","[ 0.55819754  0.55819754  0.55819754  0.55819754  0.55819754  0.55819754
  0.55819754  0.55819754  0.55819754  0.55819754]","[-0.94375002 -0.94375002 -0.94375002 -0.94375002 -0.94375002 -0.94375002
 -0.94375002 -0.94375002 -0.94375002 -0.94375002]"
"[-0.1428494 -0.1428494 -0.1428494 -0.1428494 -0.1428494 -0.1428494
 -0.1428494 -0.1428494 -0.1428494 -0.1428494]","[-0.87488469 -0.87488469 -0.87488469 -0.87488469 -0.87488469 -0.87488469
 -0.87488469 -0.87488469 -0.87488469 -0.87488469]","[-0.11352249 -0.11352249 -0.11352249 -0.11352249 -0.11352249 -0.11352249
 -0.11352249 -0.11352249 -0.11352249 -0.11352249]","[ 0.75176544  0.75176544  0.75176544  0.75176544  0.75176544  0.75176544
  0.75176544  0.75176544  0.75176544  0.75176544]","[ 0.12364757  0.12364757  0.12364757  0.12364757  0.12364757  0.12364757
  0.12364757  0.12364757  0.12364757  0.12364757]","[ 0.96433381  0.96433381  0.96433381  0.96433381  0.96433381  0.96433381
  0.96433381  0.96433381  0.96433381  0.96433381]","[-0.90976268 -0.90976268 -0.90976268 -0.90976268 -0.90976268 -0.90976268
 -0.90976268 -0.90976268 -0.90976268 -0.90976268]","[-0.51143966 -0.51143966 -0.51143966 -0.51143966 -0.51143966 -0.51143966
 -0.51143966 -0.51143966 -0.51143966 -0.51143966]","[ 0.07130009  0.07130009  0.07130009  0.07130009  0.07130009  0.07130009
  0.07130009  0.07130009  0.07130009  0.07130009]","[-0.20461119 -0.20461119 -0.20461119 -0.20461119 -0.20461119 -0.20461119
 -0.20461119 -0.20461119 -0.20461119 -0.20461119]","[-0.61389031 -0.61389031 -0.61389031 -0.61389031 -0.61389031 -0.61389031
 -0.61389031 -0.61389031 -0.61389031 -0.61389031]","[ 0.84355141  0.84355141  0.84355141  0.84355141  0.84355141  0.84355141
  0.84355141  0.84355141  0.84355141  0.84355141]","[-0.17749997 -0.17749997 -0.17749997 -0.17749997 -0.17749997 -0.17749997
 -0.17749997 -0.17749997 -0.17749997 -0.17749997]","[ 0.88432287  0.88432287  0.88432287  0.88432287  0.88432287  0.88432287
  0.88432287  0.88432287  0.88432287  0.88432287]"
"[ 0.18546917  0.18546917  0.18546917  0.18546917  0.18546917  0.18546917
  0.18546917  0.18546917  0.18546917  0.18546917]","[-0.6437145 -0.6437145 -0.6437145 -0.6437145 -0.6437145 -0.6437145
 -0.6437145 -0.6437145 -0.6437145 -0.6437145]","[ 0.30382087  0.30382087  0.30382087  0.30382087  0.30382087  0.30382087
  0.30382087  0.30382087  0.30382087  0.30382087]","[-0.63021789 -0.63021789 -0.63021789 -0.63021789 -0.63021789 -0.63021789
 -0.63021789 -0.20059146 -0.20059146 -0.20059146]","[-0.10186444 -0.10186444 -0.10186444 -0.10186444 -0.10186444 -0.10186444
 -0.10186444 -0.10186444 -0.10186444 -0.10186444]","[-0.16954485  0.44470017  0.44470017  0.44470017  0.44470017  0.44470017
  0.44470017 -0.53591124 -0.53591124 -0.53591124]","[ 0.80895204  0.80895204  0.80895204  0.80895204  0.80895204  0.80895204
  0.80895204  0.80895204  0.80895204  0.80895204]","[ 0.12738946  0.12738946  0.12738946  0.12738946  0.12738946  0.12738946
  0.12738946  0.12738946  0.12738946  0.12738946]","[ 0.54587118  0.54587118  0.54587118  0.54587118  0.54587118  0.54587118
  0.54587118  0.54587118  0.54587118  0.54587118]","[ 0.62765395  0.62765395  0.62765395  0.62765395  0.62765395  0.62765395
  0.62765395  0.62765395  0.62765395  0.62765395]","[-0.50115551 -0.50115551 -0.50115551 -0.50115551 -0.50115551 -0.50115551
 -0.50115551 -0.50115551 -0.50115551 -0.50115551]","[ 0.03614408  0.03614408  0.03614408  0.03614408  0.03614408  0.03614408
  0.03614408  0.03614408  0.03614408  0.03614408]","[ 0.07759171  0.07759171  0.07759171  0.07759171  0.07759171  0.07759171
  0.07759171  0.07759171  0.07759171  0.07759171]","[-0.9011583 -0.9011583 -0.9011583 -0.9011583 -0.9011583 -0.9011583
 -0.9011583 -0.9011583 -0.9011583 -0.9011583]"
"[-0.47626736 -0.47626736 -0.47626736 -0.47626736 -0.47626736 -0.47626736
 -0.47626736 -0.47626736 -0.47626736 -0.47626736]","[ 0.66788262  0.66788262  0.66788262  0.66788262  0.66788262  0.66788262
  0.66788262  0.66788262  0.66788262  0.66788262]","[ 0.74984028  0.74984028  0.74984028  0.74984028  0.74984028  0.74984028
  0.74984028  0.74984028  0.74984028  0.74984028]","[-0.22969996 -0.22969996 -0.22969996 -0.22969996 -0.22969996 -0.22969996
 -0.22969996 -0.22969996 -0.22969996 -0.22969996]","[-0.85964808 -0.85964808 -0.85964808 -0.85964808 -0.85964808 -0.85964808
 -0.85964808 -0.85964808 -0.85964808 -0.85964808]","[-0.80891954 -0.80891954 -0.80891954 -0.80891954 -0.80891954 -0.80891954
 -0.80891954 -0.80891954 -0.80891954 -0.80891954]","[ 0.61138585  0.61138585  0.61138585  0.61138585  0.61138585  0.61138585
  0.61138585  0.61138585  0.61138585  0.61138585]","[-0.16443635 -0.16443635 -0.16443635 -0.16443635 -0.16443635 -0.16443635
 -0.16443635 -0.16443635 -0.16443635 -0.16443635]","[-0.47071952 -0.47071952 -0.47071952 -0.47071952 -0.47071952 -0.47071952
 -0.47071952 -0.47071952 -0.47071952 -0.47071952]","[-0.91632185 -0.91632185 -0.91632185 -0.91632185 -0.91632185 -0.91632185
 -0.91632185 -0.91632185 -0.91632185 -0.91632185]","[ 0.92181065  0.92181065  0.92181065  0.92181065  0.92181065  0.92181065
  0.92181065  0.92181065  0.92181065  0.92181065]","[ 0.5479945  0.5479945  0.5479945  0.5479945  0.5479945  0.5479945
  0.5479945  0.5479945  0.5479945  0.5479945]","[-0.41039795 -0.41039795 -0.41039795 -0.41039795 -0.41039795 -0.41039795
 -0.41039795 -0.41039795 -0.41039795 -0.41039795]","[-0.54449875 -0.31613879 -0.31613879 -0.31613879 -0.31613879 -0.31613879
 -0.31613879 -0.78390913 -0.78390913 -0.78390913]"
